Country,Variable,Value
Country_26,Life_Expectancy,55.62828179961245
Country_26,Population,8587314.185481813
Country_27,GDP,16988.811581027603
Country_27,HDI,0.7222613843806895
Country_27,Life_Expectancy,76.12719917913084
Country_27,Population,488774147.54074234
Country_28,GDP,26056.24831263063
Country_28,HDI,0.9324568605890895
Country_28,Life_Expectancy,58.539637518267924
Country_28,Population,398538349.15490645
Country_29,GDP,35433.27797081085
Country_29,HDI,0.4269079420687289
Country_29,Life_Expectancy,.
Country_29,Population,865778923.0549123
Country_3,GDP,21644.835885687873
Country_3,HDI,0.4892989411287272
Country_3,Life_Expectancy,65.11807565247405
Country_3,Population,787609891.0167245
Country_30,GDP,.
Country_30,HDI,0.5406031551660389
Country_30,Life_Expectancy,82.02025366
Country_30,Population,1430938936.9268785
Country_31,GDP,59784.15715498153
Country_31,HDI,0.8532388364859569
Country_31,Life_Expectancy,63.47842050106738
Country_31,Population,442378889.21230894
Country_32,GDP,48874.070868910625
Country_32,HDI,0.6997546973544603
Country_32,Life_Expectancy,53.40117728
Country_32,Population,855521694
Country_33,GDP,51983.41893391721
Country_33,HDI,0.5336692482928408
Country_33,Life_Expectancy,74.58694293954882
Country_33,Population,1045826595.7519066
Country_34,GDP,63970.21840267476
Country_34,HDI,0.8188918663284037
Country_34,Life_Expectancy,67.55307031405198
Country_34,Population,767502255.8925457
Country_35,GDP,
Country_35,HDI,0.675882092
Country_35,Life_Expectancy,53.28936789443041
Country_35,Population,563998846
Country_36,GDP,2619.767370763935
Country_36,HDI,0.5341239169173209
Country_36,Life_Expectancy,78.79101962308803
Country_36,Population,56984934.935072415
Country_37,GDP,43790.888069420515
Country_37,HDI,0.6453805105192961
Country_37,Life_Expectancy,51.80886024090127
Country_37,Population,128935850.02565822
Country_38,GDP,36382.87420693308
Country_38,HDI,0.4760409633203482
Country_38,Life_Expectancy,.
Country_38,Population,485111752.9389277
Country_39,GDP,48870.20732351201
Country_39,HDI,0.4016840777362059
Country_39,Life_Expectancy,56.0653012
Country_39,Population,614020463.6769905
Country_4,GDP,32196.8639
Country_4,HDI,0.6342523849688475
Country_4,Life_Expectancy,56.98858237554259
Country_4,Population,.
Country_40,GDP,19955.405837743026
Country_40,HDI,0.6603301341324104
Country_40,Life_Expectancy,75.82639208
Country_40,Population,1432343055.714128
Country_41,GDP,.
Country_41,HDI,0.32990171731413925
Country_41,Life_Expectancy,54.062542417742065
Country_41,Population,22575839.456004046
Country_42,GDP,34667.303320619845
Country_42,HDI,
Country_42,Life_Expectancy,56.06206544685053
Country_42,Population,710734184.4000679
Country_43,GDP,43997.26414213943
Country_43,HDI,.
Country_43,Life_Expectancy,79.97714444159128
Country_43,Population,755201251.6115515
Country_44,GDP,65846.00177903456
Country_44,HDI,0.7181373419875294
Country_44,Life_Expectancy,63.58594741722827
Country_44,Population,863635792.6359426
Country_45,GDP,67302.74418576204
Country_45,HDI,0.34508484556885755
Country_45,Life_Expectancy,56.852689717625374
Country_45,Population,
Country_46,GDP,22668.806305416412
Country_46,HDI,0.8294045136828081
Country_46,Life_Expectancy,50.81451775075391
Country_46,Population,1267468091.1432123
Country_47,GDP,61484.30494013018
Country_47,HDI,0.48332247217134916
Country_47,Life_Expectancy,78.12183256
Country_47,Population,1102871494.6620247
Country_48,GDP,29176.92854534414
Country_48,HDI,0.5215223011644615
Country_48,Life_Expectancy,77.17445362596989
Country_48,Population,558655110.6
Country_49,GDP,52940.729748885424
Country_49,HDI,0.6284140420911071
Country_49,Life_Expectancy,81.58935173378484
Country_49,Population,155582679.4
Country_5,GDP,66447.54483910666
Country_5,HDI,0.4979989499626909
Country_5,Life_Expectancy,78.29390718407615
Country_5,Population,1448482417.5787644
Country_50,GDP,1253.2167778807361
Country_50,HDI,0.5075538644337696
Country_50,Life_Expectancy,53.19503368751467
Country_50,Population,1358167582.6524763
Country_6,GDP,34914.795252733275
Country_6,HDI,0.46820698804001093
Country_6,Life_Expectancy,81.82621407275738
Country_6,Population,52548393.15171237
Country_7,GDP,13347.38465902413
Country_7,HDI,0.9106743120167229
Country_7,Life_Expectancy,77.12964881763901
Country_7,Population,1454407357.0190732
Country_8,GDP,14120.80893813059
Country_8,HDI,0.5526402382981632
Country_8,Life_Expectancy,61.38656157671425
Country_8,Population,68795706.07689656
Country_9,GDP,38217.37777949827
Country_9,HDI,.
Country_9,Life_Expectancy,78.07689433
Country_9,Population,212245413.2371692
